Cocktail,Ingredients,Preparation,Bar/Company,Location
Japanese Cocktail," H by HINE,  Luxardo Orgeat Syrup, Angostura Bitters","Fill a mixing glass half full with ice. Add cognac, orgeat, and bitters. Stir well. Strain into chilled cocktail glass. Twist lemon peel over the drink and drop in as a garnish.",,
Vinterpäls," Karlsson's Gold Vodka,  Luxardo Amaretto di Saschira,  Benedictine,  Orange juice,  Honey","Fill a mug with very hot water to warm the glass up. Once the glass is hot, empty it and add all the liquid ingredients. Stir well until the honey is incorporated. Garnish with the clove studded orange peel and enjoy.",,
A Southern Jackass," Prichard's Lincoln County Lightning,  King's Ginger Liqueur,  Cinnamon-Candied Ginger Syrup*, Angostura Bitters,  top Club Soda","Fill a shaker with an old fashioned glass worth of ice. Add all ingredients except for the club soda. Shake vigorously for 20 seconds, then dump into old fashioned glass. Set lemon wheel and sliver of cinnamon-candied ginger on top then top with club soda.  *Cinnamon Candied Ginger Syrup: Combine 1/4 lb. peeled ginger root (sliced 1/8"" on a 45-degree bias using a mandolin), 2 cups of water, and 4 cinnamon sticks in a pot (or pan) and bring to cusp of a light simmer. Continue to barely simmer for 30 minutes. Add 1 cup of demerara sugar and stir until fully dissolved. Lower heat and keep just below simmering. Continue to heat until almost all liquid is reduced and remaining sugar is just beginning to caramelize (2-3 hours). Remove from heat and spoon slivers of ginger (along with a generous dollop of now thick syrup) onto a sheet of parchment or wax paper. Let cool for at least 2 hours then store layered on the paper sealed in a ziplock bag. Remove cinnamon sticks and reserve syrup.",Partender,San Francisco
Mayan Sacrifice Champagne Cocktail," Chinaco Blanco Tequila,  D'Aristi Xtabentun Honey Liqueur","Fill Chinaco stemmed flute with prosecco, cava or other dry sparkling. Garnish with Luxardo Cherry pinned inside of lemon peel and rested across rim. The cherry garnish which will be EVER so delicately laid across the top of the glass, should flame in my opinion. You can dip the in high-proof spirits and light it up! ",,
Pacific Kick," Japanese Whisky, Amaro Angeleno, Luxardo Orgeat Syrup, Lemon Juice",Fill shaker with ingredients and ice. Shake. Strain into old fashioned or rocks glass filled with ice.,,
Citrus Quo (Adapted)," No.3 London Dry Gin,  Luxardo Limoncello,  Luxardo Aperitivo, Tonic water","Fill up a stem-less wine glass with ice and pour the ingredients over, stir and serve.",,
The Mayan Premonition," Chinaco Blanco Tequila,  Luxardo Sangue Morlacco Cherry Liqueur,  Fresh Lime Juice, Bitter Lemon Soda","Fill up a stemmed wine glass with ice then pour the ingredients, stir and serve.",,
Club Med," Luxardo Apricot Liqueur,  BarSol Selecto Italia Pisco,  Elderflower Liqueur, White dry white(preferably Sauvignon), Club soda","Fill up a wine glass with ice then pour the ingredients, stir and serve.",,
Jamaica Paloma," Mezcal, Jamaica basil flower syrup*,  Fresh grapefruit juice,  Fresh lime juice","Flash shake, strain onto fresh ice, top with Mexican Squirt. Salted starfruit garnish.",,
Ypioca Chile Punch," Ypioca Brasilizar Cachaca Prata Classica, Fresh Lime Juice,  Agave,  Ancho Reyes Ancho Chile Liqueur","For a punch, combine Ypioca, lime, agave and Ancho Reyes together. Add fresh pineapple chunks, 3 thin sliced chiles (seeds included) and 1 star anise to garnish.",,Miami
Prata Punch," Ypioca Brasilizar Cachaca Prata Reserva Especial,  Lillet Rose,  Guava Nectar,  Fresh Lime Juice,  Agave,  top Banfi Rosa Regale Sparkling Wine","For punch, combine Ypioca, Lillet Rose, guava nectar, lime and agave. Top with Rosa Regale sparkling and add sliced strawberries and thin-sliced lime wheels to float as garnish.  For individual cocktails, muddle 2-3 strawberry slices w/ agave and add Ypioca, guava and Lillet. Add ice and shake to chill/mix. Strain over ice and top with champagne. Garnish with thin-sliced strawberry. Remember, this is an aperitif style so it's meant to be refreshing but not necessarily sweet.",,Miami
Engaged and Cant-Aloupe," BarSol Supremo Moste Verde Italia Pisco, Fresh Cantaloupe Juice,  Fresh Lime Juice,  Beet Sugar Water*, 1  Egg White",Garnish with 3 drops of Angostura Bitters over foam.  *Beet Sugar Water: -- 50% Beet Sugar -- 50% Water,,
Mauritian Made," Pink Pigeon Rum,  Darjeeling simple syrup, Lime juice",Garnish: mint and lime wheel,,
Hotaling Old Tom Gin," Old Tom Gin,  7-Spice Syrup*,  Lemon Juice, Fever-Tree Tonic",Garnished with orange peel and star anise. Served over the rocks in a stemless wine glass.  *7-Spice Syrup: -- Pink Peppercorn -- Star Anise -- Sumac -- Cinnamon -- Nutmeg -- Coriander -- Cardamom,The Commissary,Los Angeles
Hotaling Seaside Shandy," Genevieve Gin, 1 bottle Lager","Genevieve is Hotaling's interpretation of genever, an ancient and mysterious gin style. The most common way to consume genever has always been straight. If you are planning to set sail for the day, picnic or do something else to enjoy the great outdoors, we recommend throwing a bottle of Genevieve in the freezer the evening before your outing and moving it to the cooler day of. We sip it straight while enjoying a lager. Glassware is dealer's choice, but cordial glasses are elegant and fun.",,
Blind Luck," Luxardo Bitter Bianco, Old Tom Gin, Real Lemon Juice, Strawberry-Raspberry Simple Syrup*","Hard vigorous shake with high density ice for 5-6 seconds. Hawthorne and fine strain into a chilled martini glass. Garnish with a mint sprig spanked and lightly rubbed around the edge of the glass. Raspberry garnish and mint sprig attached to the raspberry. Channel zest lemon bath over the glass.  *Strawberry-Raspberry Turbinado ""Sugar in the Raw"" Simple Syrup: -- 2 C Water -- 2 C Sugar in the Raw Turbinado Sugar -- 15 Raspberries -- 3 Strawberries, quartered -- 3 Mint Leaves  As the water boils, slowly add sugar a few spoon fulls at a time and whisk vigorously into the boiling water until all 2 cups have been dissolved. Continue to keep on high heat for 5 mins. Then take raspberries, strawberries, and mint leaves and macerate all components together and add into the boiling simple syrup. Reduce heat to low-medium heat for the next 15 mins. After that allow simple syrup to cool down and rest for additional 15 mins.  Double strain the simple syrup through fine strainers until all fruit, seeds and mint leaves are strained out.  Allow to cool.",,Houston
The Naughty & Nice," Glenrothes Vintage Reserve,  Drambuie, Woodchuck Pumpkin Cider,  Spiced Butter*, Bittermens Elemakule Tiki Bitters","Heat cider to 180°F. In a 5 oz cup pour the scotch and drambuie. Add the heated cider. Stir in the spiced butter. Top with 3 drops bitters.  For the garnish, add 2 small cocktail stirrers, hang cookie off of the stirrer so that it leans off of the side of the cup.  *Spiced Butter: -- 1 half Stick Butter -- 1 tbsp Pumpkin Pie Spice -- .5 tbsp Brown Sugar -- .5 tsp Cayenne Pepper  Soften butter, add spices and mix with a spoon until all ingredients are combined.  **Chrusciki Cookies: -- 1 c All-purpose Flour -- 3 Egg Yolks -- 3 tbsp Sour Cream -- 1 tsp Vanilla Extract -- 1 tbsp Dark Rum -- 1 pinch Salt  Using a mixer, incorporate egg yolks into sour cream, add vanilla and rum, kneed in all-purpose flower and salt to taste. Divide dough in half on a floured board and let rest for 20 min. Working with half the dough at a time, roll out to 1/8 in. thickness, cut into 2 in. wide strips, cut these strips on the diagonal at 4 in. intervals. Heat 2 in. of vegetable oil in a large deep skillet to 350°F. Make a slit in the center of each strip of dough. Pull one end through the slit to form a bow. Fry 6 Chrusciki at a time for 1 min. or less per side till golden brown. Drain on a paper towel and dust with confectioners sugar. ",Spitfire Bar,New Orleans
The King's Cranberry Sauce,"1 pkg, Cranberries, Brown Sugar,  Orange Juice,  King's Ginger Liqueur, 8 whole Pepper Corns, 6  Allspice Berries, 5  Cloves, 1 stick, 2 in Cinnamon","Heat cranberries, sugar, OJ and King's Ginger over medium heat. Place the peppercorns, allspice, cloves and cinnamon in a piece of cheesecloth with the end tied. Add to pot. Cook stirring often until cranberries soften about 25 to 30 min. Refrigerate for 1 hour before serving.",,
Mexican Sazerac," Chinaco Reposado Tequila,  D'Aristi Xtabentun Honey Liqueur, Peychaud's Bitters",Ice: Large block or spherical,,
Roasted Cherry Colada," White Rum, Luxardo Sangue Morlacco Cherry Liqueur, Coconut Milk, Fresh Lime Juice,  Demerara Sugar, Miracle Mile Forbidden Barrel Aged Bitters, 3  Roasted Cherries, Black Rum, Everclear","In a blender, combine white rum, Luxardo, coconut milk, lime juice, sugar, bitters, 3 cherries, and 1 cup ice and purée until smooth; pour into a tiki glass and top with black rum. Place halved cherry, cut-side up, on top of cocktail and fill with Everclear before lighting cherry on fire.",,
Karlsson's Kold Brew," Karlsson's Gold Vodka (Coffee-Infused),  Café Moka,  Cardamom syrup*, 2 Tbsp Soy milk coffee foam**, 1 pinch Espresso powder",In a Boston shaker combine all liquid ingredients (not the foam) with cracked ice and shake vigorously for 20 seconds. Double strain the cocktail into an espresso cup. Using an aero-latte frothing whip froth the coffee infused soy milk and spoon the froth over the cocktail. Sprinkle with a little espresso powder.,,
Root Down," Karlsson's Gold Vodka (Root-Infused),  Cardamaro,  Fresh lemon juice,  Grade-A dark maple syrup, Fenteman's ginger beer, 4 inch Whole licorice root",In a Boston shaker combine all liquid ingredients except the ginger beer with whole hard ice and shake vigorously for 30 seconds. Double strain the cocktail over whole hard ice cubes in a 13 oz. rocks glass and top with the ginger beer. Garnish with the licorice root.,,
Chilli Vanilli," Karlsson's Gold Vodka,  Lustau Amontillado Sherry,  St. Elizabeth Allspice Dram,  Burned Demerara Sugar Syrup*, 1 tincture Bob's Vanilla Bitters,  Vanilla Powder, 1  Egg White",In a Boston shaker combine all liquid ingredients in a shaker without ice and dry shake for 10-12 shakes to blend the egg whites. Once blended add cracked ice and shake vigorously for 30 seconds and strain into a frozen 4.5 oz. coupe glass. Let the cocktail settle and sprinkle with the vanilla powder.,,
Pear and Cranberry Fizz," Karlsson's Gold Vodka,  Fresh Lemon Juice, Rothman & Winter Orchard Pear Liqueur,  Cranberry Juice, 1 tincture Fee Brothers Cranberry Bitters, 10  Fresh Cranberries",In a Boston shaker combine and muddle the fresh lemon juice and cranberries. Add the remaining liquid ingredients except the club soda with hard ice and shake vigorously for 20 seconds pour directly into a highball add a little more ice to fill the glass and top with the club soda. Garnish with a few pear slices and fresh cranberries.,,
Asian Affair," Karlsson's Gold Vodka,  Boiron Kalamansi Juice,  Thai Basil Syrup*,  Cocchi Americano, Fentimans Ginger Beer","In a Boston shaker, combine all liquid ingredients except the ginger beer with cracked ice and shake vigorously for 30 seconds. Double strain over ice into a 16 oz. highball or Collins glass and top with the ginger beer. Garnish with the candied ginger using 2 toothpicks placed on the rim of the glass.  *Thai Basil Syrup: -- 1 C Chopped Thai Basil -- 2 C Granulated Sugar -- 1 C Water  In a 1 qt. saucepot bring the water and sugar to boil and stir until sugar is completely dissolved. Add the chopped Thai basil to the pot and remove from heat. Let the basil steep for 1 hour or until syrup is room temperature. Strain the basil out of the syrup using a fine mesh sieve and store covered in fridge.",,
Pumpkin and Spice," Oatmeal-Infused Karlsson's Gold Vodka*, Ginger Beer,  Oloroso Sherry,  St. Elizabeth Allspice Dram,  Molasses, Pumpkin Puree, 1 tincture Fee Brothers Black Walnut Bitters","In a Boston shaker, combine all liquid ingredients except the ginger beer. Shake vigorously for 25 seconds and strain over fresh ice in a rocks glass. Top with the ginger beer and grate the fresh nutmeg over the top.  *Oatmeal-Infused Karlsson's Gold Vodka: -- 750 ml Karlsson's Gold Vodka -- 2 C Raw Oats  Using a large sauté pan toast the oats for about 10 minutes constantly watching them and making sure they don't burn. Once aromatic and have a touch of color add the oats to a mason jar with the vodka and let infuse for 12-24 hours. Strain and press out all the vodka from the oats. Return the liquid to the bottle and store in a cool dark place.",,
Tambourine," Karlsson's Gold Vodka,  Pineapple juice,  Fresh lime juice,  Kaffir lime & tamarind compound syrup*","In a Boston shaker, combine all liquid ingredients with cracked ice and shake vigorously for 30 seconds. Double strain into a frozen 4.5 oz. coupe glass. Garnish with 1/2 piece kaffir lime leaf. (Clap the leaf several times before placing on top of the cocktail to release the aromatics.)",,
Eden's Apple," Apple & Cinnamon-Infused Karlsson's Gold Vodka,  J. T. Taylor's Falernum,  Fresh lemon juice, Fresh Cider, 1 tincture Bar Keep Baked apple bitters","In a Boston shaker, combine all liquid ingredients with cracked ice and shake vigorously for 30 seconds. Double strain into a frozen 4.5 oz. coupe glass. Garnish with the apple slice. Can also be served warm.",,
Swedish 75," Karlsson's Gold Vodka, Lemon curd (or a large bar spoon), Brut Champagne","In a Boston shaker, combine the Karlsson's and the lemon curd with whole hard ice and shake vigorously for 30-40 seconds. Add the champagne to the shaker, stir until mixed well and double strain the cocktail into a 4.5 oz. coupe glass. Garnish the cocktail with a lemon twist making sure to release all the essential oils into the glass. Rub the entire rim with the twist before dropping the twist into the glass.",,
Barbary Coast Bulldog," Hophead Vodka,  Luxardo Espresso Italian Liqueur, Cream, Mexican Coca Cola","In a bucket glass, combine Hophead, coffee liqueur, and cream. Add Ice and give a quick stir. Top with cold Mexican Coke and garnish with a Luxardo Cherry.",,
Apple Shrub Spritz," Karlsson's Gold Vodka, Spiced apple shrub*, Chilled club soda","In a chilled mixing glass combine the Karlsson's gold vodka and the spiced apple shrub with cracked ice and stir for 20 seconds. Add the chilled club soda to the mixing glass, stir just until mixed and strain into a frozen champagne flute. Garnish with two apple slices placed on the rim.",,
Goat Town Swizzle," Old Potrero Straight Rye Whiskey,  Luxardo Apricot Liqueur,  Luxardo Fernet,  Lemon juice,  Homemade orgeat, Angostura bitters, Fee Bros Orange bitters","In a collins glass, add ingredients beginning with orgeat and ending with rye. Fill glass half full with minted crushed ice. Begin ""swizzling"" cocktail with stick until cocktail is blended and ice forms on outside of glass. Top with more minted crushed ice and garnish with lemon and mint.",Henri,Chicago
The No.3 Winter Cup," No.3 London Dry Gin, King's Ginger Liqueur,  Red Vermouth (Antica Formula), Good quality sharp lemonade","In a highball glass full of ice add No.3, King's Ginger and red vermouth. Top up with the lemonade and serve with a slice of ginger and a wedge of pink grapefruit.",,
